Device GV100
--------------------------------------------------------------------------- ----------------------------------------------------------------------------------------------------
Metric Name                                                                 Metric Description                                                                                  
lts__t_sectors_equiv_l1tagmiss                                              # of sectors requested                                                                              
lts__t_sectors_srcunit_l1_aperture_sysmem_op_atom_dot_cas_lookup_hit        # of LTS sectors from unit L1 accessing system memory (sysmem) for atomic CAS that hit              
l1tex__t_sectors_pipe_tex_mem_surface_op_atom_lookup_hit                    # of sector requests to T-Stage with tag-hit and data-hit for surface atomics                       
lts__t_sectors_aperture_sysmem_lookup_hit                                   # of LTS sectors accessing system memory (sysmem) that hit                                          
gr__cycles_elapsed                                                          # of cycles elapsed on GR                                                                           
lts__t_requests_aperture_device_op_write                                    # of LTS requests accessing device memory (vidmem) for writes                                       
l1tex__t_set_accesses_pipe_lsu                                              # of cache set accesses for LSU pipe local/global                                                   
l1tex__t_set_accesses_pipe_tex_mem_surface_op_ld                            # of cache set accesses for surface loads                                                           
l1tex__t_bytes_pipe_lsu_mem_global_op_red_lookup_hit                        # of bytes requested with tag-hit and data-hit for global reductions                                
lts__t_requests_srcunit_l1_aperture_device_lookup_miss                      # of LTS requests from unit L1 accessing device memory (vidmem) that missed                         
l1tex__data_bank_conflicts_pipe_lsu_mem_global_op_atom                      # of data bank conflicts generated by global atomics                                                
lts__t_sectors_srcunit_l1_aperture_device_lookup_hit                        # of LTS sectors from unit L1 accessing device memory (vidmem) that hit                             
sm__mioc_inst_issued                                                        # of instructions issued from SMSP to MIO Control stage                                             
lts__t_requests_aperture_peer_op_red_lookup_miss                            # of LTS requests accessing peer memory (peermem) for reductions that missed                        
lts__t_requests_op_write_lookup_miss                                        # of LTS requests for writes that missed                                                            
lts__t_sectors_aperture_peer_op_read_lookup_miss                            # of LTS sectors accessing peer memory (peermem) for reads that missed                              
lts__t_sectors                                                              # of LTS sectors                                                                                    
lts__t_requests_srcunit_tex_op_read_lookup_hit                              # of LTS requests from unit TEX for reads that hit                                                  
lts__t_requests_srcunit_tex                                                 # of LTS requests from unit TEX                                                                     
lts__t_sectors_aperture_device_op_read_lookup_hit                           # of LTS sectors accessing device memory (vidmem) for reads that hit                                
lts__t_requests_srcunit_l1_aperture_device_op_write_lookup_hit              # of LTS requests from unit L1 accessing device memory (vidmem) for writes that hit                 
l1tex__t_set_conflicts_pipe_lsu_mem_global_op_ld                            # of extra cycles spent on set conflicts for global loads                                           
smsp__warps_issue_stalled_imc_miss                                          cumulative # of warps waiting for an immediate constant cache (IMC) miss                            
smsp__sass_thread_inst_executed_op_fmul_pred_on                             # of FMUL thread instructions executed where all predicates were true                               
l1tex__m_l1tex2xbar_write_bytes_mem_surface_op_red                          # of bytes written to L2# of sectors written to L2 for surface reductions                           
